STATIONS_ID	NAME	FEDERAL_STATE
00657	Braunlage-Hohegeiß	Niedersachsen
00660	Braunschweig-Gliesmarode	Niedersachsen
00661	Braunschweig (T.H.)	Niedersachsen
00662	Braunschweig	Niedersachsen
00675	Breisach-Eckartsberg	Baden-Württemberg
00685	Breitsol	Bayern
00691	Bremen	Bremen
00699	Bremen-Seefahrtschule	Bremen
00701	Bremerhaven	Bremen
00702	Bremerhaven-Speckenbüttel	Bremen
00703	Bremervörde (A)	Niedersachsen
00704	Bremervörde	Niedersachsen
00705	Bremervörde-Niederochtenhausen	Niedersachsen
00706	Eschbach	Baden-Württemberg
00710	Bretten	Baden-Württemberg
00717	Brilon	Nordrhein-Westfalen
00722	Brocken	Sachsen-Anhalt
00727	Brombachtal-Kirch-Brombach	Hessen
00728	Brotjacklriegel (UBA)	Bayern
00729	Brotterode	Thüringen
00736	Brücken	Rheinland-Pfalz
00743	Brüggen (Flugplatz)	Nordrhein-Westfalen
00748	Brunsbüttel (Schleuse)	Schleswig-Holstein
00755	Buchen, Kr. Neckar-Odenwald	Baden-Württemberg
00757	Buchenbach	Baden-Württemberg
00760	Rosengarten-Klecken	Niedersachsen
00766	Büchel-Alflen	Rheinland-Pfalz
00769	Bückeburg	Niedersachsen
00771	Büdingen	Hessen
00772	Bühlertal	Baden-Württemberg
00773	Bühlertal-Obertal	Baden-Württemberg
00781	Bühren-Ahden	Nordrhein-Westfalen
00788	Büsum	Schleswig-Holstein
00793	Buhlenberg	Rheinland-Pfalz
00817	Burgwald-Bottendorf	Hessen
00829	Butzbach-Bodenrod	Hessen
00840	Carlsfeld	Sachsen
00848	Celle (Stadt)	Niedersachsen
00850	Celle	Niedersachsen
00851	Pemfling-Pitzling	Bayern
00853	Chemnitz	Sachsen
00856	Chieming	Bayern
00860	Algermissen-Groß Lobke	Niedersachsen
00863	Clausthal-Zellerfeld	Niedersachsen
00865	Cloppenburg	Niedersachsen
00867	Lautertal-Oberlauter	Bayern
00876	Collmberg	Sachsen
00879	Cottbus (Flugplatz)	Brandenburg
00880	Cottbus	Brandenburg
00881	Crailsheim-Alexandersreut	Baden-Württemberg
00888	Crimmitschau	Sachsen
00891	Cuxhaven	Niedersachsen
00896	Dachwig	Thüringen
00909	Damsdorf	Schleswig-Holstein
00917	Darmstadt	Hessen
00918	Darmstadt (A)	Hessen
00919	Darmstadt-Botanischer Garten	Hessen
00920	Darmstadt (US-Air-Base)	Hessen
00927	Daun	Rheinland-Pfalz
00931	Deggenhausertal-Azenweiler	Baden-Württemberg
00948	Dessau	Sachsen-Anhalt
00950	Detmold	Nordrhein-Westfalen
00953	Deuselbach	Rheinland-Pfalz
00954	UFS Deutsche Bucht	Hamburg
00963	Diepholz	Niedersachsen
00964	Dierfeld	Rheinland-Pfalz
00965	Diesbar-Seußlitz	Sachsen
00970	Dietenhofen	Bayern
00979	Dillenburg	Hessen
00981	Dillingen (Saar)	Saarland
00982	Dillingen/Donau	Bayern
00983	Dillingen/Donau-Fristingen	Bayern
00991	Dippoldiswalde-Reinberg	Sachsen
00998	Dobel	Baden-Württemberg
01000	Doberan, Bad-Heiligendamm	Mecklenburg-Vorpommern
01001	Doberlug-Kirchhain	Brandenburg
01003	Döbeln	Sachsen
01006	Dömitz	Mecklenburg-Vorpommern
01010	Dörpen (Kläranlage)	Niedersachsen
01011	Dörrmoschel-Felsbergerhof	Rheinland-Pfalz
01013	Dogern	Baden-Württemberg
01018	Donaueschingen	Baden-Württemberg
01032	Dortmund	Nordrhein-Westfalen
01035	Dortmund-Wickede	Nordrhein-Westfalen
01047	Dresden (Mitte)	Sachsen
01048	Dresden-Klotzsche	Sachsen
01050	Dresden-Hosterwitz	Sachsen
01051	Dresden-Strehlen	Sachsen
01052	Möckern-Drewitz	Sachsen-Anhalt
01053	Driburg, Bad	Nordrhein-Westfalen
01066	Duderstadt	Niedersachsen
01072	Dürkheim, Bad	Rheinland-Pfalz
01073	Dürkheim, Bad (Saline)	Rheinland-Pfalz
01074	Dürrenberg, Bad	Sachsen-Anhalt
01076	Dürrheim, Bad	Baden-Württemberg
01078	Düsseldorf	Nordrhein-Westfalen
01079	Düsseldorf-Südfriedhof	Nordrhein-Westfalen
01084	Duisburg-Friemersheim	Nordrhein-Westfalen
01087	Duisburg-Laar	Nordrhein-Westfalen
01091	Ebeleben	Thüringen
01102	Ebersbach/Fils	Baden-Württemberg
01103	Ebersberg-Halbing	Bayern
01106	Eberswalde	Brandenburg
01107	Ebrach	Bayern
01126	Egelsbach	Hessen
01130	Eggebek	Schleswig-Holstein
01146	Ehningen	Baden-Württemberg
01154	Eiberg	Bayern
01161	Eichstätt-Landershofen	Bayern
01163	Eidersperrwerk	Schleswig-Holstein
01169	Eimeldingen	Baden-Württemberg
01172	Einbeck	Niedersachsen
01182	Eisleben-Helfta	Sachsen-Anhalt
01188	Elgersburg	Thüringen
01197	Ellwangen-Rindelbach	Baden-Württemberg
01200	Elpersbüttel	Schleswig-Holstein
01201	Elsdorf/Erftkreis	Nordrhein-Westfalen
01204	Elsfleth	Niedersachsen
01207	Elster, Bad-Sohl	Sachsen
01214	Elzach-Fisnacht	Baden-Württemberg
01219	Emden-Nesserland	Niedersachsen
01221	Emden-Wolthusen	Niedersachsen
01224	Emmendingen-Mundingen	Baden-Württemberg
01228	UFS TW Ems	Hamburg
01229	Ems, Bad	Rheinland-Pfalz
01238	Engelskirchen	Nordrhein-Westfalen
01239	Engen/Hegau	Baden-Württemberg
01243	Eningen	Baden-Württemberg
01246	Ennigerloh-Ostenfelde	Nordrhein-Westfalen
01254	Eppingen	Baden-Württemberg
01255	Eppingen-Elsenz	Baden-Württemberg
01261	Erding	Bayern
01262	München-Flughafen	Bayern
01266	Erfde	Schleswig-Holstein
01270	Erfurt-Weimar	Thüringen
01275	Ering	Bayern
01276	Eriskirch-Mariabrunn	Baden-Württemberg
01279	Möhrendorf-Kleinseebach	Bayern
01280	Erlangen-Bruck	Bayern
01281	Erlangen-Frauenaurach	Bayern
01287	Eschau-Hobbach	Bayern
01292	Eschenbach/Oberpfalz	Bayern
01297	Eschwege	Hessen
01299	Esens	Niedersachsen
01300	Eslohe	Nordrhein-Westfalen
01303	Essen-Bredeney	Nordrhein-Westfalen
01327	Weilerswist-Lommersum	Nordrhein-Westfalen
01329	Eutin	Schleswig-Holstein
01332	Falkenberg,Kr.Rottal-Inn	Bayern
01339	Faßberg	Niedersachsen
01341	Fehmarnbelt	Schleswig-Holstein
01345	Feldberg	Mecklenburg-Vorpommern
01346	Feldberg/Schwarzwald	Baden-Württemberg
01347	Feldberg-Altglashütten	Baden-Württemberg
01357	Fichtelberg/Oberfranken-Hüttstadl	Bayern
01358	Fichtelberg	Sachsen
01359	Fichtelberg/Ofr	Bayern
01372	Fischen	Bayern
01374	Fladungen-Heufurt	Bayern
01378	Flensburg	Schleswig-Holstein
01379	Flensburg (Schäferhaus)	Schleswig-Holstein
01380	Flensburg-Mürwik	Schleswig-Holstein
01392	Flossenbürg	Bayern
01403	Frammersbach	Bayern
01410	Frankenhausen, Bad/Kyffhäuser	Thüringen
01411	Birx/Rhön	Thüringen
01415	Frankfurt (07W)	Hessen
01416	Frankfurt (18W)	Hessen
01420	Frankfurt/Main	Hessen
01421	Frankfurt/Main (Stadt)	Hessen
01422	Frankfurt (Henninger Turm)	Hessen
01423	Frankfurt/Main (Terminal)	Hessen
01424	Frankfurt/Main-Westend	Hessen
01425	Frankfurt/Main (Feldbergstr.)	Hessen
01426	Frankfurt/Oder	Brandenburg
01428	Frankweiler	Rheinland-Pfalz
01440	Freiamt-Ottoschwanden	Baden-Württemberg
01441	Freiberg	Sachsen
01443	Freiburg	Baden-Württemberg
01447	Freiburg im Breisgau-Herdern	Baden-Württemberg
01451	Freiburg/Elbe	Niedersachsen
01467	Freudenstadt-Kurgarten	Baden-Württemberg
01468	Freudenstadt	Baden-Württemberg
01473	Freystadt-Michelbach	Bayern
01481	Friedenweiler	Baden-Württemberg
01488	Friedrichsbrunn	Sachsen-Anhalt
01490	Friedrichshafen	Baden-Württemberg
01492	Malsburg-Marzell-Friedrichsheim	Baden-Württemberg
01493	Friedrichshöhe	Thüringen
01503	Friesoythe-Altenoythe	Niedersachsen
01504	Fritzlar/Eder	Hessen
01505	Fritzlar-Kasseler Warte	Hessen
01513	Fuchskauten	Rheinland-Pfalz
01515	Fürstenfeldbruck	Bayern
01522	Fürth/Bayern (A)	Bayern
01526	Fulda-Horas	Hessen
01544	Gardelegen	Sachsen-Anhalt
01550	Garmisch-Partenkirchen	Bayern
01552	Gartz/Oder	Brandenburg
01568	Gehlberg-Schmücke	Thüringen
01572	Geilenkirchen-Neutevern	Nordrhein-Westfalen
01580	Geisenheim	Hessen
01583	Geisingberg	Sachsen
01584	Geisingen	Baden-Württemberg
01586	Traunstein-Geißing	Bayern
01587	Gelbelsee	Bayern
01590	Geldern-Walbeck	Nordrhein-Westfalen
01593	Gelnhausen	Hessen
01602	Ohlsbach	Baden-Württemberg
01605	Genthin	Sachsen-Anhalt
01612	Gera-Leumnitz	Thüringen
01617	Gernrode	Sachsen-Anhalt
01619	Gernsheim	Hessen
01621	Geroda-Platz	Bayern
01623	Gersfeld	Hessen
01638	Gießen (Lahntal)	Hessen
01639	Gießen/Wettenberg	Hessen
01645	Gilserberg-Moischeid	Hessen
01666	Glücksburg-Meierwik	Schleswig-Holstein
01667	Glückstadt	Schleswig-Holstein
01672	Goch	Nordrhein-Westfalen
01684	Görlitz	Sachsen
01689	Gößweinstein	Bayern
01691	Göttingen	Niedersachsen
01694	Goldberg	Mecklenburg-Vorpommern
01709	Gottleuba, Bad	Sachsen
01721	Gräfenberg-Kasberg	Bayern
01735	Grainet-Rehberg	Bayern
01736	Grambek	Schleswig-Holstein
01748	Grebenhain-Herchenhain	Hessen
01757	Greifswald	Mecklenburg-Vorpommern
01758	Greifswald-Wieck	Mecklenburg-Vorpommern
01759	Greifswalder Oie	Mecklenburg-Vorpommern
01762	Greiz-Dölau	Thüringen
01766	Münster/Osnabrück	Nordrhein-Westfalen
01792	Groß Berßen	Niedersachsen
01803	Groß Lüsewitz	Mecklenburg-Vorpommern
01831	Großer Arber (Ost)	Bayern
01832	Großer Arber	Bayern
01833	Grosser Falkenstein	Bayern
01834	Grosser Inselsberg	Thüringen
