name,theme,product_code,ages,piece_count,vip_points,price,dimension_1,dimension_2,dimension_3,url,date
Baumeister-Set für eigene Abenteuer,LEGO® Super Mario™,71380,6+,366,450,59.99,NA,NA,NA,/de-de/product/master-your-adventure-maker-set-71380,2021-10-04
Bewachte Festung – Erweiterungsset,LEGO® Super Mario™,71362,8+,468,375,49.99,NA,NA,NA,/de-de/product/guarded-fortress-expansion-set-71362,2021-10-04
König Buu Huu und der Spukgarten – Erweiterungsset,LEGO® Super Mario™,71377,8+,431,375,49.99,NA,NA,NA,/de-de/product/king-boo-and-the-haunted-yard-expansion-set-71377,2021-10-04
Fallender Steinblock – Erweiterungsset,LEGO® Super Mario™,71376,8+,393,300,39.99,NA,NA,NA,/de-de/product/thwomp-drop-expansion-set-71376,2021-10-04
Lakitus Wolkenwelt – Erweiterungsset,LEGO® Super Mario™,71389,7+,484,300,39.99,NA,NA,NA,/de-de/product/lakitu-sky-world-expansion-set-71389,2021-10-04
Wigglers Giftsumpf – Erweiterungsset,LEGO® Super Mario™,71383,7+,374,300,39.99,NA,NA,NA,/de-de/product/wiggler-s-poison-swamp-expansion-set-71383,2021-10-04
Kippturm mit Sumo-Bruder-Boss – Erweiterungsset,LEGO® Super Mario™,71388,6+,231,225,29.99,NA,NA,NA,/de-de/product/boss-sumo-bro-topple-tower-expansion-set-71388,2021-10-04
Marios Haus und Yoshi – Erweiterungsset,LEGO® Super Mario™,71367,6+,205,225,29.99,NA,NA,NA,/de-de/product/mario-s-house-yoshi-expansion-set-71367,2021-10-04
Piranha-Pflanze-Powerwippe – Erweiterungsset,LEGO® Super Mario™,71365,7+,217,225,29.99,NA,NA,NA,/de-de/product/piranha-plant-power-slide-expansion-set-71365,2021-10-04
Piranha-Pflanzen-Herausforderung – Erweiterungsset,LEGO® Super Mario™,71382,7+,267,225,29.99,NA,NA,NA,/de-de/product/piranha-plant-puzzling-challenge-expansion-set-71382,2021-10-04
Begegnung mit dem Kettenhund – Erweiterungsset,LEGO® Super Mario™,71381,7+,160,150,19.99,NA,NA,NA,/de-de/product/chain-chomp-jungle-encounter-expansion-set-71381,2021-10-04
Wüsten-Pokey – Erweiterungsset,LEGO® Super Mario™,71363,6+,180,150,19.99,NA,NA,NA,/de-de/product/desert-pokey-expansion-set-71363,2021-10-04
Bienen-Mario Anzug,LEGO® Super Mario™,71393,6+,13,75,9.99,NA,NA,NA,/de-de/product/bee-mario-power-up-pack-71393,2021-10-04
Frosch-Mario Anzug,LEGO® Super Mario™,71392,6+,11,75,9.99,NA,NA,NA,/de-de/product/frog-mario-power-up-pack-71392,2021-10-04
Katzen-Mario - Anzug,LEGO® Super Mario™,71372,6+,11,75,9.99,NA,NA,NA,/de-de/product/cat-mario-power-up-pack-71372,2021-10-04
Pinguin-Mario Anzug,LEGO® Super Mario™,71384,6+,18,75,9.99,NA,NA,NA,/de-de/product/penguin-mario-power-up-pack-71384,2021-10-04
Propeller-Mario - Anzug,LEGO® Super Mario™,71371,6+,13,75,9.99,NA,NA,NA,/de-de/product/propeller-mario-power-up-pack-71371,2021-10-04
Tanuki-Mario Anzug,LEGO® Super Mario™,71385,6+,13,75,9.99,NA,NA,NA,/de-de/product/tanooki-mario-power-up-pack-71385,2021-10-04
Mario-Charaktere-Serie 3,LEGO® Super Mario™,71394,6+,24,30,3.99,NA,NA,NA,/de-de/product/character-packs-series-3-71394,2021-10-04
Feuer-Mario - Anzug,LEGO® Super Mario™,71370,6+,11,75,9.99,NA,NA,NA,/de-de/product/fire-mario-power-up-pack-71370,2021-10-04
Daily Bugle,Marvel,76178,18+,3772,2250,299.99,NA,NA,NA,/de-de/product/daily-bugle-76178,2021-10-04
LEGO® Marvel: Aufstieg des Domo,Marvel,76156,8+,1040,750,99.99,NA,NA,NA,/de-de/product/lego-marvel-rise-of-the-domo-76156,2021-10-04
LEGO® Marvel The Eternals: In Arishems Schatten,Marvel,76155,7+,493,525,69.99,NA,NA,NA,/de-de/product/lego-marvel-the-eternals-in-arishem-s-shadow-76155,2021-10-04
Sanctuary II: Finales Duell,Marvel,76237,7+,322,300,39.99,NA,NA,NA,/de-de/product/sanctuary-ii-endgame-battle-76237,2021-10-04
Spider-Man in der Sanctum Werkstatt,Spider-Man,76185,7+,355,300,39.99,NA,NA,NA,/de-de/product/spider-man-at-the-sanctum-workshop-76185,2021-10-04
LEGO® Marvel Avengers Adventskalender,Marvel,76196,7+,298,225,29.99,NA,NA,NA,/de-de/product/lego-marvel-the-avengers-advent-calendar-76196,2021-10-04
LEGO® Marvel: Hinterhalt des Deviants!,Marvel,76154,6+,197,150,19.99,NA,NA,NA,/de-de/product/lego-marvel-deviant-ambush-76154,2021-10-04
Mysterios Drohnenattacke auf Spider-Man,Spider-Man,76184,4+,73,150,19.99,NA,NA,NA,/de-de/product/spider-man-vs-mysterio-s-drone-attack-76184,2021-10-04
Spider-Mans Drohnenduell,Spider-Man,76195,7+,198,150,19.99,NA,NA,NA,/de-de/product/spider-man-s-drone-duel-76195,2021-10-04
Luftangriff der Eternals,Marvel,76145,7+,133,75,9.99,NA,NA,NA,/de-de/product/eternals-aerial-assault-76145,2021-10-04
LEGO® Minifiguren Marvel Studios,Minifiguren,71031,5+,10,30,3.99,NA,NA,NA,/de-de/product/lego-minifigures-marvel-studios-71031,2021-10-04
Iron Mans Werkstatt,Marvel,76125,7+,524,450,59.99,NA,NA,NA,/de-de/product/iron-man-hall-of-armor-76125,2021-10-04
Iron Man Mech,Marvel,76140,6+,148,75,9.99,NA,NA,NA,/de-de/product/iron-man-mech-76140,2021-10-04
Das Schiff der Wächter,Marvel,76193,14+,1901,1125,149.99,NA,NA,NA,/de-de/product/the-guardians-ship-76193,2021-10-04
Avengers: Endgame – Letztes Duell,Marvel,76192,8+,527,675,89.99,NA,NA,NA,/de-de/product/avengers-endgame-final-battle-76192,2021-10-04
Angriff auf Spider-Mans Versteck,Spider-Man,76175,8+,466,600,79.99,NA,NA,NA,/de-de/product/attack-on-the-spider-lair-76175,2021-10-04
Hinterhalt des Venomosaurus,Marvel,76151,8+,640,600,79.99,NA,NA,NA,/de-de/product/venomosaurus-ambush-76151,2021-10-04
Infinity Handschuh,Marvel,76191,18+,590,525,69.99,NA,NA,NA,/de-de/product/infinity-gauntlet-76191,2021-10-04
Carnage,Spider-Man,76199,18+,546,450,59.99,NA,NA,NA,/de-de/product/carnage-76199,2021-10-04
Venom,Spider-Man,76187,18+,565,450,59.99,NA,NA,NA,/de-de/product/venom-76187,2021-10-04
Iron Man Hulkbuster vs. A.I.M.-Agent,Marvel,76164,8+,456,300,39.99,NA,NA,NA,/de-de/product/iron-man-hulkbuster-versus-a-i-m-agent-76164,2021-10-04
Iron Man und das Chaos durch Iron Monger,Marvel,76190,9+,479,300,39.99,NA,NA,NA,/de-de/product/iron-man-iron-monger-mayhem-76190,2021-10-04
Kräftemessen im antiken Dorf,Marvel,76177,8+,400,300,39.99,NA,NA,NA,/de-de/product/battle-at-the-ancient-village-76177,2021-10-04
Tony Starks sakaarianischer Iron Man,Marvel,76194,8+,369,262,34.99,NA,NA,NA,/de-de/product/tony-stark-s-sakaarian-iron-man-76194,2021-10-04
Bro Thors neues Asgard,Marvel,76200,7+,265,225,29.99,NA,NA,NA,/de-de/product/bro-thor-s-new-asgard-76200,2021-10-04
Captain Carter und der Hydra-Stampfer,Marvel,76201,8+,343,225,29.99,NA,NA,NA,/de-de/product/captain-carter-the-hydra-stomper-76201,2021-10-04
Flucht vor den zehn Ringen,Marvel,76176,7+,321,225,29.99,NA,NA,NA,/de-de/product/escape-from-the-ten-rings-76176,2021-10-04
Black Panthers Libelle,Marvel,76186,8+,202,150,19.99,NA,NA,NA,/de-de/product/black-panther-dragon-flyer-76186,2021-10-04
Iron Man vs. Thanos,Marvel,76170,4+,103,150,19.99,NA,NA,NA,/de-de/product/iron-man-vs-thanos-76170,2021-10-04
Mech-Duell zwischen Spider-Man & Doctor Octopus,Spider-Man,76198,7+,305,150,19.99,NA,NA,NA,/de-de/product/spider-man-doctor-octopus-mech-battle-76198,2021-10-04
Spider-Man vs. Venom und Iron Venom,Spider-Man,40454,6+,63,112,14.99,NA,NA,NA,/de-de/product/spider-man-versus-venom-and-iron-venom-40454,2021-10-04
Captain America Mech,Marvel,76168,7+,121,75,9.99,NA,NA,NA,/de-de/product/captain-america-mech-armour-76168,2021-10-04
Duell zwischen Captain America und Hydra,Marvel,76189,4+,49,75,9.99,NA,NA,NA,/de-de/product/captain-america-and-hydra-face-off-76189,2021-10-04
Miles Morales Mech,Spider-Man,76171,7+,125,75,9.99,NA,NA,NA,/de-de/product/miles-morales-mech-armour-76171,2021-10-04
Thor Mech,Marvel,76169,7+,139,75,9.99,NA,NA,NA,/de-de/product/thor-mech-armour-76169,2021-10-04
Falcon™ und Black Widow machen gemeinsame Sache,Marvel,40418,8+,60,112,14.99,NA,NA,NA,/de-de/product/falcon-black-widow-team-up-40418,2021-10-04
Captain-Marvel-Schlüsselanhänger,Marvel,854064,6+,NA,37,4.99,NA,NA,NA,/de-de/product/captain-marvel-keyring-854064,2021-10-04
Schlüsselanhänger mit Spider-Ham,Spider-Man,854077,6+,NA,37,4.99,NA,NA,NA,/de-de/product/spider-ham-keyring-854077,2021-10-04
Schlüsselanhänger mit Thanos,Marvel,854078,6+,NA,37,4.99,NA,NA,NA,/de-de/product/thanos-keyring-854078,2021-10-04
Venom-Schlüsselanhänger,Marvel,854006,6+,NA,37,4.99,NA,NA,NA,/de-de/product/venom-keyring-854006,2021-10-04
Avengers Helicarrier,Marvel,76153,9+,1244,900,119.99,NA,NA,NA,/de-de/product/avengers-helicarrier-76153,2021-10-04
Iron Mans Helm,Marvel,76165,18+,480,450,59.99,NA,NA,NA,/de-de/product/iron-man-helmet-76165,2021-10-04
Spider-Mans Monstertruck vs. Mysterio,Spider-Man,76174,8+,439,375,49.99,NA,NA,NA,/de-de/product/spider-man-s-monster-truck-vs-mysterio-76174,2021-10-04
Spider-Man und Ghost Rider vs. Carnage,Spider-Man,76173,7+,212,150,19.99,NA,NA,NA,/de-de/product/spider-man-and-ghost-rider-vs-carnage-76173,2021-10-04
Avengers – Kräftemessen am Turm,Marvel,76166,8+,685,675,89.99,NA,NA,NA,/de-de/product/avengers-tower-battle-76166,2021-10-04
Avengers – Lokis Rache,Marvel,76152,4+,223,450,59.99,NA,NA,NA,/de-de/product/avengers-wrath-of-loki-76152,2021-10-04
Black Widows Hubschrauber-Verfolgungsjagd,Marvel,76162,7+,271,225,29.99,NA,NA,NA,/de-de/product/black-widow-s-helicopter-chase-76162,2021-10-04
Iron Mans Arsenal,Marvel,76167,7+,258,225,29.99,NA,NA,NA,/de-de/product/iron-man-armoury-76167,2021-10-04
Venom Krabbler,Marvel,76163,8+,413,225,29.99,NA,NA,NA,/de-de/product/venom-crawler-76163,2021-10-04
Das Duell von Spider-Man und Sandman,Spider-Man,76172,4+,45,75,9.99,NA,NA,NA,/de-de/product/spider-man-and-sandman-showdown-76172,2021-10-04
Spider-Man Mech,Marvel,76146,6+,152,75,9.99,NA,NA,NA,/de-de/product/spider-man-mech-76146,2021-10-04
Spider-Man Schlüsselanhänger,Marvel,853950,6+,NA,37,4.99,NA,NA,NA,/de-de/product/spider-man-keyring-853950,2021-10-04
Roboter-Erfinder,MINDSTORMS®,51515,10+,949,2700,359.99,NA,NA,NA,/de-de/product/robot-inventor-51515,2021-10-04
Intelligenter EV3-Stein,MINDSTORMS®,45500,10-21,1,1500,199.99,NA,NA,NA,/de-de/product/ev3-intelligent-brick-45500,2021-10-04
EV3 Gyrosensor,MINDSTORMS®,45505,10-21,1,262,34.99,NA,NA,NA,/de-de/product/ev3-gyro-sensor-45505,2021-10-04
EV3 Ultraschallsensor,MINDSTORMS®,45504,10+,1,262,34.99,NA,NA,NA,/de-de/product/ev3-ultrasonic-sensor-45504,2021-10-04
EV3 Berührungssensor,MINDSTORMS®,45507,10-21,1,150,19.99,NA,NA,NA,/de-de/product/ev3-touch-sensor-45507,2021-10-04
EV3 Kabel-Paket,MINDSTORMS®,45514,10-21,7,120,15.99,NA,NA,NA,/de-de/product/ev3-cable-pack-45514,2021-10-04
EV3 Servomotor medium,MINDSTORMS®,45503,10-21,1,187,24.99,NA,NA,NA,/de-de/product/ev3-medium-servo-motor-45503,2021-10-04
Das Piratenschiff-Abenteuer,Minecraft®,21152,8+,386,375,49.99,NA,NA,NA,/de-de/product/the-pirate-ship-adventure-21152,2021-10-04
Das moderne Baumhaus,Minecraft®,21174,9+,909,900,119.99,NA,NA,NA,/de-de/product/the-modern-treehouse-21174,2021-10-04
Die Crafting-Box 3.0,Minecraft®,21161,8+,564,600,79.99,NA,NA,NA,/de-de/product/the-crafting-box-3-0-21161,2021-10-04
Die Creeper™ Mine,Minecraft®,21155,8+,834,600,79.99,NA,NA,NA,/de-de/product/the-creeper-mine-21155,2021-10-04
Der Illager-Überfall,Minecraft®,21160,8+,562,525,69.99,NA,NA,NA,/de-de/product/the-illager-raid-21160,2021-10-04
Der Himmelsturm,Minecraft®,21173,8+,565,450,59.99,NA,NA,NA,/de-de/product/the-sky-tower-21173,2021-10-04
Das Schweinehaus,Minecraft®,21170,8+,490,375,49.99,NA,NA,NA,/de-de/product/the-pig-house-21170,2021-10-04
Die Brücke,Minecraft®,21154,8+,372,300,39.99,NA,NA,NA,/de-de/product/the-blaze-bridge-21154,2021-10-04
Die Dschungel Ungeheuer,Minecraft®,21176,8+,489,300,39.99,NA,NA,NA,/de-de/product/the-jungle-abomination-21176,2021-10-04
Das zerstörte Portal,Minecraft®,21172,8+,316,225,29.99,NA,NA,NA,/de-de/product/the-ruined-portal-21172,2021-10-04
